strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/NewZealand/20VR1499/2020	EPI_ISL_456221	MZ331947.1	PathLab Bay of Plenty	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
hCoV-19/USA/CA-SCCPHD-UC108/2020	EPI_ISL_435587		Santa Clara County Public Health Department	Chiu Laboratory, University of California, San Francisco	Xianding Deng et al
hCoV-19/Cambodia/0012/2020	EPI_ISL_411902		Virology Unit, Institut Pasteur du Cambodge.	Virology Unit, Institut Pasteur du Cambodge (Sequencing done by: Jessica E Manning/Jennifer A Bohl at Malaria and Vector Research Research Laboratory, National Institute of Allergy and Infectious Diseases and Vida Ahyong from Chan-Zuckerberg Biohub)	Erik A Karlsson et al (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)
hCoV-19/Australia/NSW219/2020	EPI_ISL_427643		Centre for Infectious Diseases and Microbiology Public Health	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Timms V et al (https://www.nature.com/articles/s41591-020-1000-7)
hCoV-19/NewZealand/CoV001/2020	EPI_ISL_417211		Dunedin Hospital	University of Otago	M.E. Quiñones-Mateu et al
hCoV-19/Austria/CeMM0080/2020	EPI_ISL_437947		Universitaetsklinik für Innere Medizin II Innsbruck	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Alexandra Popa et al A (https://www.biorxiv.org/content/10.1101/2020.07.15.204339v1)
hCoV-19/Pakistan/KHI1/2020	EPI_ISL_451958	MT500122.1	Jamil-ur-Rahman Center for Genome Research, Dr. Panjwani Center for Molecular Medicine and Drug Research, International Center for Chemical and Biological Sciences, University of Karachi	Jamil-ur-Rahman Center for Genome Research, Dr. Panjwani Center for Molecular Medicine and Drug Research, International Center for Chemical and Biological Sciences, University of Karachi	Shakeel et al
hCoV-19/Indonesia/SA-EIJK-12/2020	EPI_ISL_568694		RSUP Prof. Dr. R. Kandou Manado	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
hCoV-19/USA/WV-QDX-1284/2020	EPI_ISL_572053	MW065351.1	Quest Diagnostics	Quest Diagnostics	Rosenthal et al
hCoV-19/Singapore/29/2020	EPI_ISL_420106		National Centre for Infectious Diseases	Programme in Emerging Infectious Diseases, Duke-NUS Medical School	Danielle E Anderson et al
hCoV-19/Malaysia/UNIMAS-11942/2020	EPI_ISL_718146		Ministry of Health Hospitals	Institute of Health and Community Medicine	David Perera et al
hCoV-19/Argentina/PAIS-C0023/2020	EPI_ISL_792424		Laboratorio de Inmunología del Hospital Perrando e Instituto de Medicina Regional de la UNNE	Instituto de Biotecnología, IABIMO (CONICET), Instituto de Virología, IVIT(CONICET), Instituto de Patobiología, IPVET(CONICET), CICVyA, INTA on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	König et al
hCoV-19/Malaysia/IMR_WC14227/2020	EPI_ISL_490048		Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia	Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia	Suppiah J et al
hCoV-19/Kazakhstan/KZ_Almaty/2020	EPI_ISL_2604957	MZ379258.1	Shared Scientific Laboratory, Research Institute for Biological Safety Problems, RIBSP	Shared Scientific Laboratory, Research Institute for Biological Safety Problems, RIBSP	Burashev et al
hCoV-19/Japan/DP0058/2020	EPI_ISL_416568		Japanese Quarantine Stations	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al B (https://dx.doi.org/10.1101/2020.03.23.20041970)
hCoV-19/Hangzhou/HZCDC0013/2020	EPI_ISL_421235		Hangzhou Center for Diseases Control and Prevention	Hangzhou Center for Diseases Control and Prevention	Jun Li et al
hCoV-19/HongKong/HKU-908a/2020	EPI_ISL_434569	MT114418.1		Microbiology, The University of Hong Kong	To et al
hCoV-19/Australia/WA34/2020	EPI_ISL_470851		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA	Chisha Sikazwe et al
hCoV-19/Australia/NT01/2020	EPI_ISL_419831		Royal Darwin Hospital	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Meumann et al
hCoV-19/Australia/SA0097/2020	EPI_ISL_468039		SA Pathology	SA Pathology	Lex Leong et al
hCoV-19/SriLanka/CDR142/2020	EPI_ISL_525474		Centre for Dengue Research	Centre for Dengue Research, USJ, SL	Chandima Jeewandara et al
hCoV-19/Canada/Qc-LSPQ-L00210314/2020	EPI_ISL_535716		Hôpital de Verdun	Laboratoire de santé publique du Québec	Sandrine Moreira et al
hCoV-19/Canada/BC_13297/2020	EPI_ISL_415578		BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
hCoV-19/Canada/BC_17397/2020	EPI_ISL_415580		BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
hCoV-19/Oman/RESP-20-837/2020	EPI_ISL_457704		Oman-NIC	Oman-NIC	Samira Al-Maruqi et al
hCoV-19/Lebanon/S5_762/2020	EPI_ISL_450512		Rafik Hariri University Hospital	Rafik Hariri University Hospital	Rita Feghali et al
hCoV-19/Bahrain/BAH-06/2020	EPI_ISL_483547		Kingdom of Bahrein Ministry of Health	Erasmus Medical Center	Bas Oude Munnink et al
hCoV-19/Iran/GRC-20/2020	EPI_ISL_2693672		Department of Virology, School of Medicine, Ahvaz Jundishapur University of Medical Sciences, Ahvaz, Iran	Genetics Research Center, University of Social Welfare and Rehabilitation Sciences	Zohreh Fattahi et al
hCoV-19/NewZealand/20VR0174/2020	EPI_ISL_413490	MZ331872.1	Auckland Hospital	Institute of Environmental Science and Research (ESR)	Matt Storey et al B (https://dx.doi.org/10.1101/2020.03.15.992818)
hCoV-19/Bahrain/BAH-19/2020	EPI_ISL_483560		Kingdom of Bahrein Ministry of Health	Erasmus Medical Center	Bas Oude Munnink et al
hCoV-19/NewZealand/20CV0306/2020	EPI_ISL_622799		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/Philippines/PGC03/2020	EPI_ISL_434555		National Institutes of Health, University of the Philippines Manila	Philippine Genome Center	Carlo M. Lapid et al
hCoV-19/India/TG-CCMB-J107/2020	EPI_ISL_447849		CSIR-Centre for Cellular and Molecular Biology	CSIR-Centre for Cellular and Molecular Biology	Shagufta Khan et al (https://dx.doi.org/10.1101/2020.05.31.126136)
hCoV-19/Pakistan/KP-RMI-01/2020	EPI_ISL_632908	MW242667.1	Genomic Sciences, Rehman Medical Institute	Genomic Sciences, Rehman Medical Institute	Ali et al
hCoV-19/Brunei/2/2020	EPI_ISL_435674		National Virology Reference Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Mak Tze Minn et al
hCoV-19/Brunei/3/2020	EPI_ISL_435675		National Virology Reference Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Mak Tze Minn et al
hCoV-19/Timor-Leste/TL23/2020	EPI_ISL_456611	MT612293.1	National Health Laboratory, Timor-Leste	Microbiological Diagnostic Unit Public Health Laboratory, The Peter Doherty Institute for Infection and Immunity	Soares da Silva et al
hCoV-19/Timor-Leste/TL19/2020	EPI_ISL_456610	MT612292.1	National Health Laboratory, Timor-Leste	Microbiological Diagnostic Unit Public Health Laboratory, The Peter Doherty Institute for Infection and Immunity	Soares da Silva et al
hCoV-19/Singapore/808/2020	EPI_ISL_516808		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
hCoV-19/Singapore/846/2020	EPI_ISL_518010		Singapore General Hospital	Department of Microbiology	Nurdyana Abdul Rahman et al
hCoV-19/Singapore/1284/2020	EPI_ISL_648769		Department of Laboratory Medicine, Tan Tock Seng Hospital	Department of Laboratory Medicine, Tan Tock Seng Hospital	Chen YYC et al
hCoV-19/Myanmar/MMC_137/2020	EPI_ISL_512844		Department of Medical Research	DMR_Myanmar	Myat Htut Nyunt et al
hCoV-19/Australia/NSW2308/2020	EPI_ISL_678306		Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Virology Research Laboratory; Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Foster et al
hCoV-19/Malaysia/MGI-MAEPS54/2020	EPI_ISL_528743		Malaysia Genome Institute	Malaysia Genome Institute	Mohd Noor Mat Isa et al
hCoV-19/Malaysia/MGI-MAEPS67/2020	EPI_ISL_528744		Malaysia Genome Institute	Malaysia Genome Institute	Mohd Noor Mat Isa et al
hCoV-19/Malaysia/MGI-M71/2020	EPI_ISL_528741		Malaysia Genome Institute	Malaysia Genome Institute	Mohd Noor Mat Isa et al
hCoV-19/PapuaNewGuinea/3/2020	EPI_ISL_693473		Central Public Health Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Tze Minn Mak et al
hCoV-19/PapuaNewGuinea/1/2020	EPI_ISL_693471		Central Public Health Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Tze Minn Mak et al
hCoV-19/PapuaNewGuinea/10/2020	EPI_ISL_693480		Central Public Health Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Tze Minn Mak et al
hCoV-19/PapuaNewGuinea/13/2020	EPI_ISL_693483		Central Public Health Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Tze Minn Mak et al
hCoV-19/PapuaNewGuinea/PNG227/2021	EPI_ISL_1424619		Queensland Medical Laboratories	Victorian Infectious Diseases Reference Laboratory (VIDRL) and the Melbourne Diagnostic Unit Public Health Laboratory (MDU-PHL)	Palou et al
hCoV-19/PapuaNewGuinea/12/2021	EPI_ISL_1322329		Central Public Health Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Tze Minn Mak et al
hCoV-19/PapuaNewGuinea/37/2020	EPI_ISL_1307664		Central Public Health Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Tze Minn Mak et al
hCoV-19/PapuaNewGuinea/52/2020	EPI_ISL_1322327		Central Public Health Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Tze Minn Mak et al
hCoV-19/England/PHEC-10E9A/2020	EPI_ISL_2735785		Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	COVID-19 Genomics UK (COG-UK) Consortium	PHE Covid Sequencing Team et al
hCoV-19/Australia/NT18/2020	EPI_ISL_426635		Royal Darwin Hospital Pathology	Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute	Meumann et al
hCoV-19/USA/MD-HP00112/2020	EPI_ISL_457767	MT646052.1	Johns Hopkins Hospital Department of Pathology	Johns Hopkins Hospital Department of Pathology	Peter M. Thielen et al
hCoV-19/Australia/NSW04/2020	EPI_ISL_417030		Centre for Infectious Diseases and Microbiology Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Eden J-S et al (https://www.nature.com/articles/s41591-020-1000-7)
hCoV-19/UnitedArabEmirates/L5630/2020	EPI_ISL_435137		Mohammed Bin Rashid University of Medicine and Health Sciences	Al Jalila Genomics Center	Ahmad Abou Tayoun et al (https://dx.doi.org/10.1101/2020.05.06.080606)
hCoV-19/Australia/TAS74/2020	EPI_ISL_522745		Royal Hobart Hospital Microbiology Department	MDU-PHL	Cooley L. et al
hCoV-19/Australia/QLD1392/2020	EPI_ISL_849708		Queensland Health Forensic and Scientific Services	Queensland Health Forensic and Scientific Services	Son Nguyen et al
hCoV-19/Canada/MB-NML-1193/2020	EPI_ISL_582506		Cadham Provincial Laboratory	National Microbiology Laboratory (NML)	Anna Majer et al
hCoV-19/USA/VT-CDC-0303/2020	EPI_ISL_447846	MT472623.1	VT Dept. of Health Laboratory	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen et al
hCoV-19/Australia/VIC1057/2020	EPI_ISL_430668	MT451724.1	Microbiological Diagnostic Unit Public Health Laboratory	Microbiological Diagnostic Unit Public Health Laboratory	Seemann T. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
hCoV-19/Belgium/GHB-03021/2020	EPI_ISL_407976		KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Bert Vanmechelen et al (https://dx.doi.org/10.1101/2020.05.05.078758)
hCoV-19/Peru/ICA-INS-704/2020	EPI_ISL_1111164		Laboratorio de Referencia Nacional de Virus Respiratorio. Instituto Nacional de Salud Perú	Laboratorio de Referencia Nacional de Enteropatógenos. Instituto Nacional de Salud del Perú	Ronnie Gavilan Chavez et al
hCoV-19/Bolivia/26958/2020	EPI_ISL_837576		Centro Nacional de Enfermedades Tropicales (CENETROP)	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al
hCoV-19/Uruguay/UY-NYUMC862/2020	EPI_ISL_457958		Laboratorio de Biología Molecular Asociación Española Primera en Salud	Departments of Pathology and Medicine, New York University School of Medicine	Maria Victoria Elizondo et al
hCoV-19/Austria/CeMM0355/2020	EPI_ISL_475812		Center for Virology, Medical University of Vienna	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Alexandra Popa et al B
hCoV-19/Australia/QLD02/2020	EPI_ISL_407896		Pathology Queensland	Public Health Virology Laboratory	Ben Huang et al
hCoV-19/Australia/VIC07/2020	EPI_ISL_416415		Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
hCoV-19/Uganda/UG027/2020	EPI_ISL_737951		Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
hCoV-19/Uganda/UG017/2020	EPI_ISL_451199		Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Dan Lule Bugembe et al (https://dx.doi.org/10.3201/eid2610.202575)
hCoV-19/Australia/WA203/2020	EPI_ISL_596766		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al
hCoV-19/Cambodia/137932/2020	EPI_ISL_918363		Virology Unit, Institut Pasteur du Cambodge	Virology Unit, Institut Pasteur du Cambodge	Sokhoun Yann et al
hCoV-19/Cambodia/137334/2020	EPI_ISL_918359		Virology Unit, Institut Pasteur du Cambodge	Virology Unit, Institut Pasteur du Cambodge	Sokhoun Yann et al
hCoV-19/Cambodia/137931/2020	EPI_ISL_918364		Virology Unit, Institut Pasteur du Cambodge	Virology Unit, Institut Pasteur du Cambodge	Sokhoun Yann et al
hCoV-19/Rwanda/NRLNAT4052/2021	EPI_ISL_2521989		Nucleic Acid Testing, National Reference Laboratory	GIGA Medical Genomics	Yvan Butera et al
hCoV-19/Uganda/UG224/2021	EPI_ISL_1469322		MRC/UVRI & LSHTM Uganda Research Unit	Where sequence data have been generated and submitted to GISAID	Matthew Cotten et al
hCoV-19/Uganda/UG267/2020	EPI_ISL_1469358		MRC/UVRI & LSHTM Uganda Research Unit	Where sequence data have been generated and submitted to GISAID	Matthew Cotten et al
hCoV-19/DRC/214214/2021	EPI_ISL_2135840		Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al A
hCoV-19/Vietnam/HCMC-05044-02/2021	EPI_ISL_1366743		OUCRU	OUCRU	Nguyen Van Vinh Chau et al
hCoV-19/Vietnam/HCMC-05046-02/2021	EPI_ISL_1366744		OUCRU	OUCRU	Nguyen Van Vinh Chau et al
hCoV-19/Somalia/CV1159/2020	EPI_ISL_2107094		National Institute of Health (NIH) - Federal Government of Somalia	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer’s University	Olawoye et al
hCoV-19/Coted-Ivoire/COV-BKE1545/bc17/2021	EPI_ISL_1663659		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Chantal Akoua-Koffi et al
hCoV-19/Ghana/1651_S3/2020	EPI_ISL_422387		NMIMR, Department of Virology	WACCBIP, University of Ghana	Joyce M. Ngoi et al
hCoV-19/NewZealand/20VR3131/2020	EPI_ISL_1250695		Wellington SCL (WN)	Institute of Environmental Science and Research (ESR)	Rachel Boyle et al
hCoV-19/SierraLeone/KGH-G-8668/2020	EPI_ISL_512819	MT872500.1	Kenema Government Hospital, Ministry of Health and Sanitation	Kenema Government Hospital, Ministry of Health and Sanitation	Goba et al
hCoV-19/Bahrain/341509978/2021	EPI_ISL_2715288	MZ425478.1	Communicable Disease Laboratory, Public Health Directorate	Communicable Disease Laboratory, Public Health Directorate	Alwasti et al
hCoV-19/SaudiArabia/KAIMRC-S439/2021	EPI_ISL_3799804	MZ895674.1	Clinical Microbiology Lab, King Abdulaziz Medical City, Ministry of National Guard – Health Affairs, Riyadh, Saudi Arabia	Infectious Diseases Research, King Abdullah International Medical Research Center (KAIMRC), Riyadh, Saudi Arabia	Alghoribi et al
hCoV-19/SaudiArabia/KAUST-Madinah27/2020	EPI_ISL_437484		Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)	Sara Mfarrej et al
hCoV-19/Coted-Ivoire/BKE0916/2020	EPI_ISL_614391		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute	Chantal Akoua-Koffi et al
hCoV-19/BurkinaFaso/2-032-1197/2020	EPI_ISL_660479		Laboratoire de Microbiologie CHU Souro Sanou	Centre Muraz	Abdoul-Salam Ouedraogo et al
hCoV-19/Coted-Ivoire/BKE0425/2020	EPI_ISL_682059		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute	Chantal Akoua-Koffi et al
hCoV-19/Ghana/84162_S45/2020	EPI_ISL_515103	MT890242.1	Department of Biochemistry, Cell and Molecular Biology	WACCBIP, University of Ghana	Ngoi et al
hCoV-19/Niger/17068/2020	EPI_ISL_2835638		Center for Medical and Sanitary Research (CERMES)	CDC Atlanta	Adamou Lagare et al
hCoV-19/Niger/MI-73/2020	EPI_ISL_2835636		Center for Medical and Sanitary Research (CERMES)	CDC Atlanta	Adamou Lagare et al
hCoV-19/Spain/PV-ISCIII-201388/2020	EPI_ISL_455351		Hospital Txagorritxu	Instituto de Salud Carlos III	Iglesias-Caballero et al
hCoV-19/Spain/MD-IBV-004960/2020	EPI_ISL_481042		Hospital General Universitario Gregorio Marañón	SeqCOVID-SPAIN consortium/IBV(CSIC)	Laura Pérez-Lago et al
hCoV-19/Australia/ACT0054/2020	EPI_ISL_498520		ACT Pathology	Schwessinger Lab	Ashley Jones et al
hCoV-19/Australia/TAS199/2020	EPI_ISL_522642		Royal Hobart Hospital Microbiology Department	MDU-PHL	Cooley L. et al
hCoV-19/Australia/TAS258/2020	EPI_ISL_522685		Royal Hobart Hospital Microbiology Department	MDU-PHL	Cooley L. et al
hCoV-19/Panama/GMI-PA350142/2020	EPI_ISL_1225372		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al
hCoV-19/Panama/334102/2020	EPI_ISL_496764		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)
hCoV-19/Panama/GMI-PA391365/2020	EPI_ISL_1225481		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al
hCoV-19/Panama/GMI-PA369146/2020	EPI_ISL_1225441		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al
hCoV-19/Panama/GMI-PA369170/2020	EPI_ISL_1225455		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al
hCoV-19/Panama/333063/2020	EPI_ISL_496731		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)
hCoV-19/Guatemala/ASI4169/2021	EPI_ISL_3835392		Laboratorio Nacional de Salud	Asociación de Salud Integral / Clínica Familiar "Luis Ángel García"	Eduardo Arathon et al
hCoV-19/Panama/GMI-PA641589/2021	EPI_ISL_1502957		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Gonzalez Claudia et al
hCoV-19/CostaRica/INC-0508/2021	EPI_ISL_1827537		AREA DE SALUD GOLFITO	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/CostaRica/INC-0730/2021	EPI_ISL_2828000		AREA DE SALUD GARABITO	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/USA/LA-CDC-QDX26343366/2021	EPI_ISL_2929707	MZ716549.1	Quest Diagnostics Incorporated	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/Panama/GMI-PA706193/2021	EPI_ISL_1503107		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Gonzalez Claudia et al
hCoV-19/Ecuador/USFQ-1291/2021	EPI_ISL_2100425		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Belén Prado-Vivar et al
hCoV-19/CostaRica/INC-0677/2021	EPI_ISL_2658274		HOSPITAL MONSEÑOR SANABRIA	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/CostaRica/INC-0636/2021	EPI_ISL_2502734		AREA DE SALUD HATILLO - CLINICA DR. SOLON NUÑEZ	Inciensa, Instituto Costarricense de InvestigaciOn y Enseñanza en NutriciOn y Salud	Francisco Duarte et al
hCoV-19/CostaRica/INC-0778/2021	EPI_ISL_3037812		AREA DE SALUD BAGACES	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
